"pm10","pm2.5"
9.17382147918376,2.33811613885152
11,2.5
9,4.3
9,3.2
7,1.8
9,2.9
10,3.1
7,3.4
5,3.2
32,5.1
7,3.7
10,2
6,2.2
5,2.4
4,2.2
3,1.5
5,2.2
4,4.1
5,4.1
5,5.3
7,3.8
6,2.4
6,2.4
4,3.1
6,4.8
11,4.8
7,3.4
5,2.7
9,2.2
4,3.8
7.14619323358257,3.76446604675034
8.83396756148694,4.03613536839147
10.5217418893913,4.3078046900326
13,3.8
11,6
14,6.6
15,6.8
13,7.8
11,9.4
17,6.6
24,10.8
23,14.9
20,10.7
18,8.5
16,8.5
19,7.3
16,9.4
20,14.4
28,13.6
24,12.9
17,8.1
19,6.4
13,5.1
14,3
18,2.4
11,2.6
12,1.91055348065813
7,0.5
8,2
10,1.89049475121668
8,1.7
9,2.6
11,2.4
11,3.8
17,4.5
12,5.8
16,5.3
12,4.6
10,3.7
7,1.8
10,1.3
25,6
27,10.3
23,7.4
13,3.5
16,1.3
10,0.7
9,1.2
7,0.2
10,0
7,1.2
7,0.3
6,2.1
7,2.2
13,1.9
14,1.5
18,3.8
23,6.4
22,5.1
20,3.9
12,4.3
12,4.1
11,5.3
17,7.3
42,5.4
41,6.3
40,12
23,9.8
60,9.5
13,6.6
8,4.4
6,2.4
6,0.7
8,1.3
7,1.3
4,2.2
4,0.3
10,0.5
30,3.6
18,4.8
33,7.2
38,8.5
53,8.7
44,9
22,11.3
17,8.1
10,4
7,1.1
6,2
9,4.3
22,4.6
38,6
15,5.6
9,3.7
9,2
10,2.1
9,3.2
15,5.8
23,10.8
31,11.4
30,7.4
28,6.3
24,9.1
19,7.8
16,5.4
13,6.3
11,6.5
13,5.1
17,5.5
18,7.9
13,6.1
12,7
14,9.4
14,7.8
13,7.5
19,6.4
10,4.6
15,4.4
16,5.3
10,2.1
12,0.3
5,1.31243264052346
7,1.26549944066949
12,0.4
8,3.1
7,1.3
6,1.88854928340773
10,1.6
6,2.9
5,3.6
9,2.9
5,2.9
4,1.5
4,0.3
5,4
4,4.3
3,2.2
4,1.7
4,3.3
4,4.6
2,4.6
1,0.2
2,1.19432576623571
2,0.846852547072246
3,0.2
5,0
7,0.934637852715221
9,0.9
7,3.5
5,2
6,1.5
13,4
9,3.6
7,2.5
3,2.2
6,3.30311667653553
12,3.2
8,5.5
8,6.3
13,5.9
18,6.6
8,7.8
12,6.8
13,4.9
12,7.7
9,6.6
10,3.7
5,4.35581318637824
4,4.0599173253234
3,3.8
6,3.8
8,2.1
7,2.2
12,2.8
10,2.7
19,5
19,7
34,7.1
22,6.8
20,8.7
23,5.7
16,10.3
20,7.6
17,7.6
9,6.6
17,7
45,9.2
45,10.2
17,6.9
14,5.9
10,4.4
9,4.8
5,2.4
2,0.9
7,2.2
7,3.4
10,2.5
10,4.5
18,4.8
23,10.6
18,6.9
30,6.1
16,5.6
10,6.7
19,7.2
21,7.5
14,6.6
10,4.2
13,9.7
18,7.1
59,10.5
26,5.8
20,1.9
12,2.4
10,4.5
14,4.8
10,1.7
8,1.98096625306284
4,0.7
9,2.1
9,1.5
8,2.9
21,3.1
44,4.6
30,6
33,7.7
30,7
34,9.2
23,7.8
9,5.1
24,4.3
18,5.3
17,8.6
20,7.5
27,9.1
63,9.4
25,4.9
19,5.3
21,5.8
20,3.9
16,2.6
13,4.6
14,4.2
11,6.7
20,6.1
13,11.5
24,8.4
28,5.7
29,10.5
39,12.1
24,7.9
21,7
24,6.7
19,7.5
24,7.5
32,8.7
36,7.3
24,8.7
40,9.9
42,9.5
6,6.4
12,5.1
14,4.2
9,3
6,4.1
4,2.8
1,0.4
5,0.4
17,4.28314781135147
8,6.47481033786948
23,10.8
17,8.6
15,7.8
17,8.5
23,13.1
23,9.1
21,9.2
25,8.8
38,10.4
10,8.1
12,5.7
20,6.5
15,6.8
31,8.5
14,7.3
10,5.1
9,4
11,5.9
9,4
7,2.3
4,2.5
3,2
6,2.5
11,5.5
15,6.8
32,6.8
18,6.6
21,5
22,6.8
21,6.8
16,7
13,8.9
11,4
25,0.6
32,5.9
39,8.4
85,17.5
68,16.1
31,9.9
23,8.9
21,5.3
12,5
11,4.2
10,3.3
8,1.9
9,0.9
9,2.3
15,2
34,5.3
21,5.1
19,4
14,5.3
23,7
12,6.6
19,6.7
11,8.5
19,7.3
16,5.9
38,10.2
42,9.2
18,7.6
22,6.1
38,5.8
28,8.3
17,7.4
17,8
9,5
10,7.5
23,7.8
20,4.4
24,3.5
20,3.1
21,3.5
13,6.8
13,5.3
19,6.1
17,5.9
18,3.5
18,3.8
16,4.9
20,9.6
11,9
13,8
34,7.8
32,5.4
51,10.6
34,10.2
31,5.6
13,1.7
24,5.3
17,8.1
16,7.5
11,9.8
17,8.2
22,4.8
13,4
19,6.4
12,4.5
16,2.3
15,3.7
24,5.6
22,6.4
16,5
16,2.1
10,3.1
26,7.6
37,7.8
35,8.9
53,9.9
23,6.8
25,5.2
14,3.9
12,5.1
13,7.1
16,6
13,2.1
18,0.4
13,2
21,5
28,9.4
33,12.4
35,9.4
31,8.1
36,8.4
25,9.2
29,6.5
26,4.7
18,5.8
21,9.1
25,8.3
45,12.2
45,11.7
37,11.6
37,8.8
37,8.9
20,8.6
25,8.1
22,8.1
16,5.3
18,6.4
19,5.1
25,7.1
26,7.8
28,8.2
26,9.9
24,7.5
18,4.7
18,4.4
14,8.4
14,6.2
55,10.1
21,11.9
26,9.5
49,8
26,6.8
25,7.2
36,10.7
28,7.3
16,3.7
16,3.4
18,3.5
17,3.9
26,4.5
35,12.5
25,9.5
28,6.2
21,6.2
42,7.5
18,8.8
15,8.6
19,8
17,8
23,10.2
11,8.9
10,5.3
10,2.4
9,1.2
15,7.5
19,7.5
23,8.4
22,6.8
17,6.3
17,8.9
17,6.9
21,5.5
17,4.5
