"","co1","so2","ozone","temp","rh"
"270",0.207,0,0.012,42,85
"271",0.199,0,0.013,42,81
"272",0.217,0,0.01,42,79
"273",0.244,0.1,0.009,41,79
"274",0.207,0.1,0.011,42,76
"275",0.199,0.1,0.014,42,73
"276",0.209,0.1,0.015,43,73
"277",0.198,0.2,0.018,44,72
"278",0.193,0.2,0.019,43,73
"279",0.192,0.1,0.017,42,76
"280",0.211,0.1,0.016,42,76
"281",0.226,0.1,0.015,41,75
"282",0.251,0.1,0.012,41,75
"283",0.229,0.1,0.006,38,81
"284",0.212,0,0.008,38,80
"285",0.205,0,0.01,38,79
"286",0.204,0,0.01,37,78
"287",0.203,0,0.012,37,74
"288",0.2,0,0.015,37,71
"289",0.186,0,0.018,36,68
"290",0.181,0.1,0.02,36,65
"291",0.175,0.1,0.021,36,67
"292",0.175,0,0.021,36,68
"293",0.167,0,0.021,35,74
"294",0.173,0,0.02,34,80
"295",0.187,0,0.019,33,88
"296",0.222,0,0.014,33,91
"297",0.239,0,0.014,33,91
"298",0.229,0,0.015,33,87
"299",0.237,0,0.015,34,84
"300",0.223,0.1,0.016,35,78
"301",0.219,0.1,0.018,36,74
"302",0.22,0.1,0.018,37,70
"303",0.222,0.2,0.0176858460033591,39,68
"304",0.222,0.1,0.0169866911402071,39,68
"305",0.237,0.1,0.016,39,68
"306",0.259,0.1,0.014,39,69
"307",0.247,0.1,0.014,38,70
"308",0.227,0,0.014,38,71
"309",0.231,0,0.015,38,70
"310",0.232,0,0.015,38,70
"311",0.219,0,0.016,38,70
"312",0.21,0,0.016,38,69
"313",0.21,0,0.014,38,69
"314",0.211,0,0.011,38,69
"315",0.189,0,0.013,38,72
"316",0.186,0,0.013,38,73
"317",0.17,0,0.017,38,74
"318",0.18,0,0.016,38,72
"319",0.216,0,0.014,38,68
"320",0.248,0,0.011,38,65
"321",0.312,0.1,0.007,38,65
"322",0.356,0.3,0.006,38,64
"323",0.339,0.466666666666667,0.008,39,61
"324",0.319,0.633333333333333,0.009,40,56
"325",0.299,0.8,0.011,41,51
"326",0.279,0.7,0.012,41,52
"327",0.298,0.6,0.012,42,51
"328",0.249,0.5,0.013,42,54
"329",0.248,0.4,0.014,42,56
"330",0.264,0.3,0.012,41,56
"331",0.242,0.2,0.014,41,55
"332",0.231,0.3,0.014,41,52
"333",0.206,0.4,0.019,40,46
"334",0.202,0.3,0.018,40,45
"335",0.202,0.3,0.018,40,44
"336",0.205,0.4,0.017,39,43
"337",0.202,0.5,0.017,39,42
"338",0.198,0.5,0.017,39,41
"339",0.186,0.8,0.017,39,40
"340",0.195,0.6,0.015,39,44
"341",0.202,0.3,0.012,39,49
"342",0.227,0.2,0.007,38,53
"343",0.321,0.4,0.001,37,60
"344",0.37,0.7,0,36,64
"345",0.433,1.1,0.002,38,60
"346",0.32,0.9,0.009,41,55
"347",0.199,0.5,0.018,43,51
"348",0.209,0.4,0.019,45,50
"349",0.205,0.6,0.019,48,48
"350",0.185,0.4,0.022,50,46
"351",0.164,0.2,0.026,53,42
"352",0.166,0.2,0.028,55,40
"353",0.175,0.2,0.028,55,39
"354",0.266,0.2,0.02,55,41
"355",0.511,0.3,0.006,53,46
"356",1.242,1.4,0.001,51,52
"357",1.716,2.8,0.001,49,57
"358",1.831,3.4,0.001,47,62
"359",1.261,3,0.001,44,67
"360",0.908,1.9,0,43,69
"361",0.668,1.3,0,42,72
"362",0.515,0.9,0,41,76
"363",0.474,1,0,39,79
"364",0.451,0.9,0,39,80
"365",0.484,1,0,39,79
"366",0.537,1.1,0,38,78
"367",0.704,1.9,0,38,79
"368",1.057,3.1,0,38,79
"369",1.002,3.1,0,39,76
"370",0.672,2.1,0.001,41,71
"371",0.631,1.8,0.003,46,62
"372",0.41,0.9,0.007,52,52
"373",0.294,0.8,0.014,57,41
"374",0.156,0.8,0.03,61,31
"375",0.135,0.4,0.036,62,28
"376",0.158,0.3,0.036,62,28
"377",0.18,0.3,0.034,63,30
"378",0.262,0.4,0.021,61,34
"379",0.456,1.2,0.003,59,40
"380",0.305,0.4,0.013,56,50
"381",0.298,0.2,0.011,53,56
"382",0.226,0.2,0.019,52,58
"383",0.21,0.1,0.019,51,60
"384",0.203,0.1,0.023,52,57
"385",0.206,0.2,0.023,51,57
"386",0.175,0.2,0.023,49,59
"387",0.18,0.3,0.023,48,64
"388",0.184,0.2,0.018,47,69
"389",0.184,0.1,0.015,45,72
"390",0.189,0.1,0.013,45,75
"391",0.223,0.1,0.007,43,78
"392",0.263,0.2,0.004,43,79
"393",0.261,0.2,0.008,46,72
"394",0.207,1.8,0.016,53,57
"395",0.164,2.9,0.022,57,50
"396",0.169,2,0.024,59,48
"397",0.164,1.9,0.03,64,36
"398",0.157,1.4,0.035,67,30
"399",0.152,0.9,0.037,68,25
"400",0.163,1,0.028,68,23
"401",0.153,0.8,0.033,66,26
"402",0.179,0.3,0.033,64,30
"403",0.308,0.4,0.02,61,34
"404",0.454,0.466666666666667,0.003,59,38
"405",0.539,0.533333333333333,0.002,57,41
"406",0.63,0.6,0.001,55,45
"407",0.487,0.4,0.000497151676564445,53,47
"408",0.456,0.2,0.000656368156835289,51,51
"409",0.453,0.2,0.001,50,55
"410",0.524,0.4,0,47,59
"411",0.652,0.7,0,45,62
"412",0.503,0.6,0,44,65
"413",0.492,0.4,0,43,66
"414",0.484,0.4,0,42,69
"415",0.533,0.6,0,41,68
"416",0.585,0.9,0,40,69
"417",0.511,0.9,0.0036307984931801,41,66
"418",0.276,0.4,0.00905617179668887,46,58
"419",0.272,0.4,0.016,53,44
"420",0.223,0.2,0.025,59,31
"421",0.19,0.4,0.036,64,23
"422",0.157,0.1,0.041,67,20
"423",0.15,0,0.044,68,19
"424",0.144,0,0.044,69,18
"425",0.147,0.1,0.042,69,19
"426",0.189,0.3,0.036,67,22
"427",0.285,0.3,0.026,64,25
"428",0.319,0.2,0.019,61,28
"429",0.238,0.1,0.027,58,31
"430",0.202,0.3,0.029,57,34
"431",0.214,0.5,0.025,55,36
"432",0.198,1.1,0.0225948688747901,56,34
